transect,regime,dist.village,dist.road,nmds,species,repeat,all
A,USF,2.136000519,0.933746229,0.323214216,elephant,1,14
A1,PA,10.5876162,0.182189051,-0.295778606,elephant,1,5
AL,USF,2.500733914,0.430848556,0.301541857,elephant,1,5
B,USF,3.071983923,0.291967253,0.091200538,elephant,1,1
B1,PA,10.87495087,0.145999274,0.384042877,elephant,1,16
BD,USF,3.537435698,0.14273083,0.149589931,elephant,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,elephant,1,1
BO,USF,4.081067246,1.19017915,0.498662065,elephant,1,1
C,PA,8.117323044,0.112594141,0.282628171,elephant,1,17
D,PA,9.777094892,0.126774818,0.246042266,elephant,1,10
F,PA,10.05942896,0.107599278,0.972536047,elephant,1,18
F1,USF,0.816444856,0.538385757,0.209151321,elephant,1,4
G,PA,10.16510243,0.25943872,-0.316138922,elephant,1,14
GR,USF,5.328472962,0.088412097,-0.215428496,elephant,1,3
H,PA,8.860242465,0.08772047,-0.442316075,elephant,1,0
J1,PA,10.83369439,0.078785066,-0.367301372,elephant,1,0
L,USF,2.984312498,0.136523091,-0.363900909,elephant,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,elephant,1,1
P,PA,7.600889675,0.204993689,-0.254461328,elephant,1,0
R,USF,2.571010138,0.834516335,0.03161602,elephant,1,1
RM,USF,0.834972953,0.503048408,0.127090213,elephant,1,2
S,USF,4.637241438,1.759121463,-0.21130855,elephant,1,2
S1,PA,7.007108727,0.127424159,-0.274563314,elephant,1,0
T,USF,4.238910111,0.550633764,-0.338521342,elephant,1,0
TN,USF,4.43759831,1.403762978,0.113642826,elephant,1,2
A,USF,2.136000519,0.933746229,0.323214216,wilddog,1,0
A1,PA,10.5876162,0.182189051,-0.295778606,wilddog,1,0
AL,USF,2.500733914,0.430848556,0.301541857,wilddog,1,0
B,USF,3.071983923,0.291967253,0.091200538,wilddog,1,0
B1,PA,10.87495087,0.145999274,0.384042877,wilddog,1,0
BD,USF,3.537435698,0.14273083,0.149589931,wilddog,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,wilddog,1,0
BO,USF,4.081067246,1.19017915,0.498662065,wilddog,1,0
C,PA,8.117323044,0.112594141,0.282628171,wilddog,1,1
D,PA,9.777094892,0.126774818,0.246042266,wilddog,1,0
F,PA,10.05942896,0.107599278,0.972536047,wilddog,1,0
F1,USF,0.816444856,0.538385757,0.209151321,wilddog,1,0
G,PA,10.16510243,0.25943872,-0.316138922,wilddog,1,0
GR,USF,5.328472962,0.088412097,-0.215428496,wilddog,1,0
H,PA,8.860242465,0.08772047,-0.442316075,wilddog,1,0
J1,PA,10.83369439,0.078785066,-0.367301372,wilddog,1,0
L,USF,2.984312498,0.136523091,-0.363900909,wilddog,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,wilddog,1,1
P,PA,7.600889675,0.204993689,-0.254461328,wilddog,1,0
R,USF,2.571010138,0.834516335,0.03161602,wilddog,1,0
RM,USF,0.834972953,0.503048408,0.127090213,wilddog,1,1
S,USF,4.637241438,1.759121463,-0.21130855,wilddog,1,0
S1,PA,7.007108727,0.127424159,-0.274563314,wilddog,1,0
T,USF,4.238910111,0.550633764,-0.338521342,wilddog,1,0
TN,USF,4.43759831,1.403762978,0.113642826,wilddog,1,1
A,USF,2.136000519,0.933746229,0.323214216,gaur,1,0
A1,PA,10.5876162,0.182189051,-0.295778606,gaur,1,1
AL,USF,2.500733914,0.430848556,0.301541857,gaur,1,0
B,USF,3.071983923,0.291967253,0.091200538,gaur,1,0
B1,PA,10.87495087,0.145999274,0.384042877,gaur,1,5
BD,USF,3.537435698,0.14273083,0.149589931,gaur,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,gaur,1,2
BO,USF,4.081067246,1.19017915,0.498662065,gaur,1,0
C,PA,8.117323044,0.112594141,0.282628171,gaur,1,2
D,PA,9.777094892,0.126774818,0.246042266,gaur,1,4
F,PA,10.05942896,0.107599278,0.972536047,gaur,1,4
F1,USF,0.816444856,0.538385757,0.209151321,gaur,1,0
G,PA,10.16510243,0.25943872,-0.316138922,gaur,1,7
GR,USF,5.328472962,0.088412097,-0.215428496,gaur,1,0
H,PA,8.860242465,0.08772047,-0.442316075,gaur,1,4
J1,PA,10.83369439,0.078785066,-0.367301372,gaur,1,1
L,USF,2.984312498,0.136523091,-0.363900909,gaur,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,gaur,1,0
P,PA,7.600889675,0.204993689,-0.254461328,gaur,1,5
R,USF,2.571010138,0.834516335,0.03161602,gaur,1,0
RM,USF,0.834972953,0.503048408,0.127090213,gaur,1,0
S,USF,4.637241438,1.759121463,-0.21130855,gaur,1,0
S1,PA,7.007108727,0.127424159,-0.274563314,gaur,1,0
T,USF,4.238910111,0.550633764,-0.338521342,gaur,1,0
TN,USF,4.43759831,1.403762978,0.113642826,gaur,1,0
A,USF,2.136000519,0.933746229,0.323214216,barkingdeer,1,4
A1,PA,10.5876162,0.182189051,-0.295778606,barkingdeer,1,0
AL,USF,2.500733914,0.430848556,0.301541857,barkingdeer,1,0
B,USF,3.071983923,0.291967253,0.091200538,barkingdeer,1,3
B1,PA,10.87495087,0.145999274,0.384042877,barkingdeer,1,0
BD,USF,3.537435698,0.14273083,0.149589931,barkingdeer,1,4
BG,PA,10.41215061,0.089578003,-0.327613711,barkingdeer,1,1
BO,USF,4.081067246,1.19017915,0.498662065,barkingdeer,1,0
C,PA,8.117323044,0.112594141,0.282628171,barkingdeer,1,4
D,PA,9.777094892,0.126774818,0.246042266,barkingdeer,1,4
F,PA,10.05942896,0.107599278,0.972536047,barkingdeer,1,2
F1,USF,0.816444856,0.538385757,0.209151321,barkingdeer,1,0
G,PA,10.16510243,0.25943872,-0.316138922,barkingdeer,1,3
GR,USF,5.328472962,0.088412097,-0.215428496,barkingdeer,1,1
H,PA,8.860242465,0.08772047,-0.442316075,barkingdeer,1,1
J1,PA,10.83369439,0.078785066,-0.367301372,barkingdeer,1,1
L,USF,2.984312498,0.136523091,-0.363900909,barkingdeer,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,barkingdeer,1,0
P,PA,7.600889675,0.204993689,-0.254461328,barkingdeer,1,1
R,USF,2.571010138,0.834516335,0.03161602,barkingdeer,1,3
RM,USF,0.834972953,0.503048408,0.127090213,barkingdeer,1,3
S,USF,4.637241438,1.759121463,-0.21130855,barkingdeer,1,2
S1,PA,7.007108727,0.127424159,-0.274563314,barkingdeer,1,2
T,USF,4.238910111,0.550633764,-0.338521342,barkingdeer,1,0
TN,USF,4.43759831,1.403762978,0.113642826,barkingdeer,1,6
A,USF,2.136000519,0.933746229,0.323214216,serow,1,0
A1,PA,10.5876162,0.182189051,-0.295778606,serow,1,0
AL,USF,2.500733914,0.430848556,0.301541857,serow,1,0
B,USF,3.071983923,0.291967253,0.091200538,serow,1,1
B1,PA,10.87495087,0.145999274,0.384042877,serow,1,0
BD,USF,3.537435698,0.14273083,0.149589931,serow,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,serow,1,0
BO,USF,4.081067246,1.19017915,0.498662065,serow,1,3
C,PA,8.117323044,0.112594141,0.282628171,serow,1,0
D,PA,9.777094892,0.126774818,0.246042266,serow,1,0
F,PA,10.05942896,0.107599278,0.972536047,serow,1,0
F1,USF,0.816444856,0.538385757,0.209151321,serow,1,0
G,PA,10.16510243,0.25943872,-0.316138922,serow,1,1
GR,USF,5.328472962,0.088412097,-0.215428496,serow,1,0
H,PA,8.860242465,0.08772047,-0.442316075,serow,1,0
J1,PA,10.83369439,0.078785066,-0.367301372,serow,1,0
L,USF,2.984312498,0.136523091,-0.363900909,serow,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,serow,1,0
P,PA,7.600889675,0.204993689,-0.254461328,serow,1,0
R,USF,2.571010138,0.834516335,0.03161602,serow,1,0
RM,USF,0.834972953,0.503048408,0.127090213,serow,1,1
S,USF,4.637241438,1.759121463,-0.21130855,serow,1,0
S1,PA,7.007108727,0.127424159,-0.274563314,serow,1,0
T,USF,4.238910111,0.550633764,-0.338521342,serow,1,0
TN,USF,4.43759831,1.403762978,0.113642826,serow,1,3
A,USF,2.136000519,0.933746229,0.323214216,wildpig,1,3
A1,PA,10.5876162,0.182189051,-0.295778606,wildpig,1,0
AL,USF,2.500733914,0.430848556,0.301541857,wildpig,1,0
B,USF,3.071983923,0.291967253,0.091200538,wildpig,1,0
B1,PA,10.87495087,0.145999274,0.384042877,wildpig,1,0
BD,USF,3.537435698,0.14273083,0.149589931,wildpig,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,wildpig,1,1
BO,USF,4.081067246,1.19017915,0.498662065,wildpig,1,0
C,PA,8.117323044,0.112594141,0.282628171,wildpig,1,0
D,PA,9.777094892,0.126774818,0.246042266,wildpig,1,0
F,PA,10.05942896,0.107599278,0.972536047,wildpig,1,0
F1,USF,0.816444856,0.538385757,0.209151321,wildpig,1,0
G,PA,10.16510243,0.25943872,-0.316138922,wildpig,1,0
GR,USF,5.328472962,0.088412097,-0.215428496,wildpig,1,0
H,PA,8.860242465,0.08772047,-0.442316075,wildpig,1,0
J1,PA,10.83369439,0.078785066,-0.367301372,wildpig,1,0
L,USF,2.984312498,0.136523091,-0.363900909,wildpig,1,1
LM,USF,3.606562176,0.178956193,-0.323625723,wildpig,1,0
P,PA,7.600889675,0.204993689,-0.254461328,wildpig,1,0
R,USF,2.571010138,0.834516335,0.03161602,wildpig,1,0
RM,USF,0.834972953,0.503048408,0.127090213,wildpig,1,0
S,USF,4.637241438,1.759121463,-0.21130855,wildpig,1,0
S1,PA,7.007108727,0.127424159,-0.274563314,wildpig,1,0
T,USF,4.238910111,0.550633764,-0.338521342,wildpig,1,7
TN,USF,4.43759831,1.403762978,0.113642826,wildpig,1,0
A,USF,2.136000519,0.933746229,0.323214216,bear,1,0
A1,PA,10.5876162,0.182189051,-0.295778606,bear,1,0
AL,USF,2.500733914,0.430848556,0.301541857,bear,1,0
B,USF,3.071983923,0.291967253,0.091200538,bear,1,0
B1,PA,10.87495087,0.145999274,0.384042877,bear,1,0
BD,USF,3.537435698,0.14273083,0.149589931,bear,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,bear,1,1
BO,USF,4.081067246,1.19017915,0.498662065,bear,1,0
C,PA,8.117323044,0.112594141,0.282628171,bear,1,0
D,PA,9.777094892,0.126774818,0.246042266,bear,1,0
F,PA,10.05942896,0.107599278,0.972536047,bear,1,1
F1,USF,0.816444856,0.538385757,0.209151321,bear,1,0
G,PA,10.16510243,0.25943872,-0.316138922,bear,1,0
GR,USF,5.328472962,0.088412097,-0.215428496,bear,1,1
H,PA,8.860242465,0.08772047,-0.442316075,bear,1,1
J1,PA,10.83369439,0.078785066,-0.367301372,bear,1,3
L,USF,2.984312498,0.136523091,-0.363900909,bear,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,bear,1,1
P,PA,7.600889675,0.204993689,-0.254461328,bear,1,1
R,USF,2.571010138,0.834516335,0.03161602,bear,1,1
RM,USF,0.834972953,0.503048408,0.127090213,bear,1,2
S,USF,4.637241438,1.759121463,-0.21130855,bear,1,0
S1,PA,7.007108727,0.127424159,-0.274563314,bear,1,0
T,USF,4.238910111,0.550633764,-0.338521342,bear,1,1
TN,USF,4.43759831,1.403762978,0.113642826,bear,1,0
A,USF,2.136000519,0.933746229,0.323214216,smallcarnivore,1,0
A1,PA,10.5876162,0.182189051,-0.295778606,smallcarnivore,1,0
AL,USF,2.500733914,0.430848556,0.301541857,smallcarnivore,1,0
B,USF,3.071983923,0.291967253,0.091200538,smallcarnivore,1,0
B1,PA,10.87495087,0.145999274,0.384042877,smallcarnivore,1,0
BD,USF,3.537435698,0.14273083,0.149589931,smallcarnivore,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,smallcarnivore,1,0
BO,USF,4.081067246,1.19017915,0.498662065,smallcarnivore,1,1
C,PA,8.117323044,0.112594141,0.282628171,smallcarnivore,1,0
D,PA,9.777094892,0.126774818,0.246042266,smallcarnivore,1,0
F,PA,10.05942896,0.107599278,0.972536047,smallcarnivore,1,0
F1,USF,0.816444856,0.538385757,0.209151321,smallcarnivore,1,0
G,PA,10.16510243,0.25943872,-0.316138922,smallcarnivore,1,1
GR,USF,5.328472962,0.088412097,-0.215428496,smallcarnivore,1,1
H,PA,8.860242465,0.08772047,-0.442316075,smallcarnivore,1,1
J1,PA,10.83369439,0.078785066,-0.367301372,smallcarnivore,1,1
L,USF,2.984312498,0.136523091,-0.363900909,smallcarnivore,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,smallcarnivore,1,0
P,PA,7.600889675,0.204993689,-0.254461328,smallcarnivore,1,0
R,USF,2.571010138,0.834516335,0.03161602,smallcarnivore,1,0
RM,USF,0.834972953,0.503048408,0.127090213,smallcarnivore,1,0
S,USF,4.637241438,1.759121463,-0.21130855,smallcarnivore,1,0
S1,PA,7.007108727,0.127424159,-0.274563314,smallcarnivore,1,0
T,USF,4.238910111,0.550633764,-0.338521342,smallcarnivore,1,1
TN,USF,4.43759831,1.403762978,0.113642826,smallcarnivore,1,1
A,USF,2.136000519,0.933746229,0.323214216,porcupine,1,0
A1,PA,10.5876162,0.182189051,-0.295778606,porcupine,1,0
AL,USF,2.500733914,0.430848556,0.301541857,porcupine,1,0
B,USF,3.071983923,0.291967253,0.091200538,porcupine,1,0
B1,PA,10.87495087,0.145999274,0.384042877,porcupine,1,0
BD,USF,3.537435698,0.14273083,0.149589931,porcupine,1,0
BG,PA,10.41215061,0.089578003,-0.327613711,porcupine,1,1
BO,USF,4.081067246,1.19017915,0.498662065,porcupine,1,0
C,PA,8.117323044,0.112594141,0.282628171,porcupine,1,2
D,PA,9.777094892,0.126774818,0.246042266,porcupine,1,0
F,PA,10.05942896,0.107599278,0.972536047,porcupine,1,0
F1,USF,0.816444856,0.538385757,0.209151321,porcupine,1,0
G,PA,10.16510243,0.25943872,-0.316138922,porcupine,1,0
GR,USF,5.328472962,0.088412097,-0.215428496,porcupine,1,0
H,PA,8.860242465,0.08772047,-0.442316075,porcupine,1,0
J1,PA,10.83369439,0.078785066,-0.367301372,porcupine,1,0
L,USF,2.984312498,0.136523091,-0.363900909,porcupine,1,0
LM,USF,3.606562176,0.178956193,-0.323625723,porcupine,1,0
P,PA,7.600889675,0.204993689,-0.254461328,porcupine,1,0
R,USF,2.571010138,0.834516335,0.03161602,porcupine,1,0
RM,USF,0.834972953,0.503048408,0.127090213,porcupine,1,0
S,USF,4.637241438,1.759121463,-0.21130855,porcupine,1,0
S1,PA,7.007108727,0.127424159,-0.274563314,porcupine,1,0
T,USF,4.238910111,0.550633764,-0.338521342,porcupine,1,0
