transect,regime,dist.village,dist.road,nmds,species,repeat,all
TN,USF,4.43759831,1.403762978,0.113642826,porcupine,1,0
A,USF,2.136000519,0.933746229,0.323214216,elephant,2,6
A1,PA,10.5876162,0.182189051,-0.295778606,elephant,2,2
AL,USF,2.500733914,0.430848556,0.301541857,elephant,2,5
B,USF,3.071983923,0.291967253,0.091200538,elephant,2,5
B1,PA,10.87495087,0.145999274,0.384042877,elephant,2,7
BD,USF,3.537435698,0.14273083,0.149589931,elephant,2,0
BG,PA,10.41215061,0.089578003,-0.327613711,elephant,2,0
BO,USF,4.081067246,1.19017915,0.498662065,elephant,2,2
C,PA,8.117323044,0.112594141,0.282628171,elephant,2,0
D,PA,9.777094892,0.126774818,0.246042266,elephant,2,9
F,PA,10.05942896,0.107599278,0.972536047,elephant,2,14
F1,USF,0.816444856,0.538385757,0.209151321,elephant,2,2
G,PA,10.16510243,0.25943872,-0.316138922,elephant,2,10
GR,USF,5.328472962,0.088412097,-0.215428496,elephant,2,0
H,PA,8.860242465,0.08772047,-0.442316075,elephant,2,4
J1,PA,10.83369439,0.078785066,-0.367301372,elephant,2,8
L,USF,2.984312498,0.136523091,-0.363900909,elephant,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,elephant,2,1
P,PA,7.600889675,0.204993689,-0.254461328,elephant,2,0
R,USF,2.571010138,0.834516335,0.03161602,elephant,2,4
RM,USF,0.834972953,0.503048408,0.127090213,elephant,2,5
S,USF,4.637241438,1.759121463,-0.21130855,elephant,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,elephant,2,0
T,USF,4.238910111,0.550633764,-0.338521342,elephant,2,13
TN,USF,4.43759831,1.403762978,0.113642826,elephant,2,0
A,USF,2.136000519,0.933746229,0.323214216,wilddog,2,1
A1,PA,10.5876162,0.182189051,-0.295778606,wilddog,2,0
AL,USF,2.500733914,0.430848556,0.301541857,wilddog,2,0
B,USF,3.071983923,0.291967253,0.091200538,wilddog,2,0
B1,PA,10.87495087,0.145999274,0.384042877,wilddog,2,0
BD,USF,3.537435698,0.14273083,0.149589931,wilddog,2,0
BG,PA,10.41215061,0.089578003,-0.327613711,wilddog,2,0
BO,USF,4.081067246,1.19017915,0.498662065,wilddog,2,0
C,PA,8.117323044,0.112594141,0.282628171,wilddog,2,0
D,PA,9.777094892,0.126774818,0.246042266,wilddog,2,0
F,PA,10.05942896,0.107599278,0.972536047,wilddog,2,0
F1,USF,0.816444856,0.538385757,0.209151321,wilddog,2,0
G,PA,10.16510243,0.25943872,-0.316138922,wilddog,2,0
GR,USF,5.328472962,0.088412097,-0.215428496,wilddog,2,0
H,PA,8.860242465,0.08772047,-0.442316075,wilddog,2,0
J1,PA,10.83369439,0.078785066,-0.367301372,wilddog,2,0
L,USF,2.984312498,0.136523091,-0.363900909,wilddog,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,wilddog,2,0
P,PA,7.600889675,0.204993689,-0.254461328,wilddog,2,0
R,USF,2.571010138,0.834516335,0.03161602,wilddog,2,0
RM,USF,0.834972953,0.503048408,0.127090213,wilddog,2,0
S,USF,4.637241438,1.759121463,-0.21130855,wilddog,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,wilddog,2,0
T,USF,4.238910111,0.550633764,-0.338521342,wilddog,2,0
TN,USF,4.43759831,1.403762978,0.113642826,wilddog,2,0
A,USF,2.136000519,0.933746229,0.323214216,gaur,2,10
A1,PA,10.5876162,0.182189051,-0.295778606,gaur,2,15
AL,USF,2.500733914,0.430848556,0.301541857,gaur,2,0
B,USF,3.071983923,0.291967253,0.091200538,gaur,2,0
B1,PA,10.87495087,0.145999274,0.384042877,gaur,2,4
BD,USF,3.537435698,0.14273083,0.149589931,gaur,2,0
BG,PA,10.41215061,0.089578003,-0.327613711,gaur,2,0
BO,USF,4.081067246,1.19017915,0.498662065,gaur,2,0
C,PA,8.117323044,0.112594141,0.282628171,gaur,2,0
D,PA,9.777094892,0.126774818,0.246042266,gaur,2,16
F,PA,10.05942896,0.107599278,0.972536047,gaur,2,17
F1,USF,0.816444856,0.538385757,0.209151321,gaur,2,0
G,PA,10.16510243,0.25943872,-0.316138922,gaur,2,11
GR,USF,5.328472962,0.088412097,-0.215428496,gaur,2,0
H,PA,8.860242465,0.08772047,-0.442316075,gaur,2,11
J1,PA,10.83369439,0.078785066,-0.367301372,gaur,2,19
L,USF,2.984312498,0.136523091,-0.363900909,gaur,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,gaur,2,0
P,PA,7.600889675,0.204993689,-0.254461328,gaur,2,2
R,USF,2.571010138,0.834516335,0.03161602,gaur,2,0
RM,USF,0.834972953,0.503048408,0.127090213,gaur,2,0
S,USF,4.637241438,1.759121463,-0.21130855,gaur,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,gaur,2,0
T,USF,4.238910111,0.550633764,-0.338521342,gaur,2,0
TN,USF,4.43759831,1.403762978,0.113642826,gaur,2,0
A,USF,2.136000519,0.933746229,0.323214216,barkingdeer,2,4
A1,PA,10.5876162,0.182189051,-0.295778606,barkingdeer,2,4
AL,USF,2.500733914,0.430848556,0.301541857,barkingdeer,2,3
B,USF,3.071983923,0.291967253,0.091200538,barkingdeer,2,4
B1,PA,10.87495087,0.145999274,0.384042877,barkingdeer,2,3
BD,USF,3.537435698,0.14273083,0.149589931,barkingdeer,2,5
BG,PA,10.41215061,0.089578003,-0.327613711,barkingdeer,2,7
BO,USF,4.081067246,1.19017915,0.498662065,barkingdeer,2,6
C,PA,8.117323044,0.112594141,0.282628171,barkingdeer,2,6
D,PA,9.777094892,0.126774818,0.246042266,barkingdeer,2,5
F,PA,10.05942896,0.107599278,0.972536047,barkingdeer,2,1
F1,USF,0.816444856,0.538385757,0.209151321,barkingdeer,2,2
G,PA,10.16510243,0.25943872,-0.316138922,barkingdeer,2,4
GR,USF,5.328472962,0.088412097,-0.215428496,barkingdeer,2,9
H,PA,8.860242465,0.08772047,-0.442316075,barkingdeer,2,8
J1,PA,10.83369439,0.078785066,-0.367301372,barkingdeer,2,1
L,USF,2.984312498,0.136523091,-0.363900909,barkingdeer,2,4
LM,USF,3.606562176,0.178956193,-0.323625723,barkingdeer,2,8
P,PA,7.600889675,0.204993689,-0.254461328,barkingdeer,2,2
R,USF,2.571010138,0.834516335,0.03161602,barkingdeer,2,9
RM,USF,0.834972953,0.503048408,0.127090213,barkingdeer,2,3
S,USF,4.637241438,1.759121463,-0.21130855,barkingdeer,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,barkingdeer,2,8
T,USF,4.238910111,0.550633764,-0.338521342,barkingdeer,2,3
TN,USF,4.43759831,1.403762978,0.113642826,barkingdeer,2,2
A,USF,2.136000519,0.933746229,0.323214216,serow,2,6
A1,PA,10.5876162,0.182189051,-0.295778606,serow,2,0
AL,USF,2.500733914,0.430848556,0.301541857,serow,2,1
B,USF,3.071983923,0.291967253,0.091200538,serow,2,0
B1,PA,10.87495087,0.145999274,0.384042877,serow,2,3
BD,USF,3.537435698,0.14273083,0.149589931,serow,2,0
BG,PA,10.41215061,0.089578003,-0.327613711,serow,2,8
BO,USF,4.081067246,1.19017915,0.498662065,serow,2,3
C,PA,8.117323044,0.112594141,0.282628171,serow,2,0
D,PA,9.777094892,0.126774818,0.246042266,serow,2,0
F,PA,10.05942896,0.107599278,0.972536047,serow,2,2
F1,USF,0.816444856,0.538385757,0.209151321,serow,2,0
G,PA,10.16510243,0.25943872,-0.316138922,serow,2,1
GR,USF,5.328472962,0.088412097,-0.215428496,serow,2,0
H,PA,8.860242465,0.08772047,-0.442316075,serow,2,0
J1,PA,10.83369439,0.078785066,-0.367301372,serow,2,0
L,USF,2.984312498,0.136523091,-0.363900909,serow,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,serow,2,0
P,PA,7.600889675,0.204993689,-0.254461328,serow,2,2
R,USF,2.571010138,0.834516335,0.03161602,serow,2,0
RM,USF,0.834972953,0.503048408,0.127090213,serow,2,0
S,USF,4.637241438,1.759121463,-0.21130855,serow,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,serow,2,1
T,USF,4.238910111,0.550633764,-0.338521342,serow,2,0
TN,USF,4.43759831,1.403762978,0.113642826,serow,2,0
A,USF,2.136000519,0.933746229,0.323214216,wildpig,2,1
A1,PA,10.5876162,0.182189051,-0.295778606,wildpig,2,0
AL,USF,2.500733914,0.430848556,0.301541857,wildpig,2,0
B,USF,3.071983923,0.291967253,0.091200538,wildpig,2,3
B1,PA,10.87495087,0.145999274,0.384042877,wildpig,2,0
BD,USF,3.537435698,0.14273083,0.149589931,wildpig,2,0
BG,PA,10.41215061,0.089578003,-0.327613711,wildpig,2,0
BO,USF,4.081067246,1.19017915,0.498662065,wildpig,2,2
C,PA,8.117323044,0.112594141,0.282628171,wildpig,2,2
D,PA,9.777094892,0.126774818,0.246042266,wildpig,2,0
F,PA,10.05942896,0.107599278,0.972536047,wildpig,2,0
F1,USF,0.816444856,0.538385757,0.209151321,wildpig,2,0
G,PA,10.16510243,0.25943872,-0.316138922,wildpig,2,0
GR,USF,5.328472962,0.088412097,-0.215428496,wildpig,2,0
H,PA,8.860242465,0.08772047,-0.442316075,wildpig,2,0
J1,PA,10.83369439,0.078785066,-0.367301372,wildpig,2,0
L,USF,2.984312498,0.136523091,-0.363900909,wildpig,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,wildpig,2,2
P,PA,7.600889675,0.204993689,-0.254461328,wildpig,2,0
R,USF,2.571010138,0.834516335,0.03161602,wildpig,2,0
RM,USF,0.834972953,0.503048408,0.127090213,wildpig,2,0
S,USF,4.637241438,1.759121463,-0.21130855,wildpig,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,wildpig,2,0
T,USF,4.238910111,0.550633764,-0.338521342,wildpig,2,2
TN,USF,4.43759831,1.403762978,0.113642826,wildpig,2,0
A,USF,2.136000519,0.933746229,0.323214216,bear,2,0
A1,PA,10.5876162,0.182189051,-0.295778606,bear,2,1
AL,USF,2.500733914,0.430848556,0.301541857,bear,2,0
B,USF,3.071983923,0.291967253,0.091200538,bear,2,0
B1,PA,10.87495087,0.145999274,0.384042877,bear,2,1
BD,USF,3.537435698,0.14273083,0.149589931,bear,2,0
BG,PA,10.41215061,0.089578003,-0.327613711,bear,2,0
BO,USF,4.081067246,1.19017915,0.498662065,bear,2,0
C,PA,8.117323044,0.112594141,0.282628171,bear,2,0
D,PA,9.777094892,0.126774818,0.246042266,bear,2,1
F,PA,10.05942896,0.107599278,0.972536047,bear,2,3
F1,USF,0.816444856,0.538385757,0.209151321,bear,2,0
G,PA,10.16510243,0.25943872,-0.316138922,bear,2,0
GR,USF,5.328472962,0.088412097,-0.215428496,bear,2,1
H,PA,8.860242465,0.08772047,-0.442316075,bear,2,1
J1,PA,10.83369439,0.078785066,-0.367301372,bear,2,2
L,USF,2.984312498,0.136523091,-0.363900909,bear,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,bear,2,1
P,PA,7.600889675,0.204993689,-0.254461328,bear,2,3
R,USF,2.571010138,0.834516335,0.03161602,bear,2,4
RM,USF,0.834972953,0.503048408,0.127090213,bear,2,2
S,USF,4.637241438,1.759121463,-0.21130855,bear,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,bear,2,2
T,USF,4.238910111,0.550633764,-0.338521342,bear,2,1
TN,USF,4.43759831,1.403762978,0.113642826,bear,2,2
A,USF,2.136000519,0.933746229,0.323214216,smallcarnivore,2,1
A1,PA,10.5876162,0.182189051,-0.295778606,smallcarnivore,2,0
AL,USF,2.500733914,0.430848556,0.301541857,smallcarnivore,2,0
B,USF,3.071983923,0.291967253,0.091200538,smallcarnivore,2,1
B1,PA,10.87495087,0.145999274,0.384042877,smallcarnivore,2,0
BD,USF,3.537435698,0.14273083,0.149589931,smallcarnivore,2,0
BG,PA,10.41215061,0.089578003,-0.327613711,smallcarnivore,2,0
BO,USF,4.081067246,1.19017915,0.498662065,smallcarnivore,2,0
C,PA,8.117323044,0.112594141,0.282628171,smallcarnivore,2,0
D,PA,9.777094892,0.126774818,0.246042266,smallcarnivore,2,0
F,PA,10.05942896,0.107599278,0.972536047,smallcarnivore,2,0
F1,USF,0.816444856,0.538385757,0.209151321,smallcarnivore,2,0
G,PA,10.16510243,0.25943872,-0.316138922,smallcarnivore,2,0
GR,USF,5.328472962,0.088412097,-0.215428496,smallcarnivore,2,0
H,PA,8.860242465,0.08772047,-0.442316075,smallcarnivore,2,0
J1,PA,10.83369439,0.078785066,-0.367301372,smallcarnivore,2,0
L,USF,2.984312498,0.136523091,-0.363900909,smallcarnivore,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,smallcarnivore,2,0
P,PA,7.600889675,0.204993689,-0.254461328,smallcarnivore,2,0
R,USF,2.571010138,0.834516335,0.03161602,smallcarnivore,2,0
RM,USF,0.834972953,0.503048408,0.127090213,smallcarnivore,2,0
S,USF,4.637241438,1.759121463,-0.21130855,smallcarnivore,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,smallcarnivore,2,0
T,USF,4.238910111,0.550633764,-0.338521342,smallcarnivore,2,0
TN,USF,4.43759831,1.403762978,0.113642826,smallcarnivore,2,3
A,USF,2.136000519,0.933746229,0.323214216,porcupine,2,1
A1,PA,10.5876162,0.182189051,-0.295778606,porcupine,2,3
AL,USF,2.500733914,0.430848556,0.301541857,porcupine,2,0
B,USF,3.071983923,0.291967253,0.091200538,porcupine,2,0
B1,PA,10.87495087,0.145999274,0.384042877,porcupine,2,3
BD,USF,3.537435698,0.14273083,0.149589931,porcupine,2,5
BG,PA,10.41215061,0.089578003,-0.327613711,porcupine,2,0
BO,USF,4.081067246,1.19017915,0.498662065,porcupine,2,0
C,PA,8.117323044,0.112594141,0.282628171,porcupine,2,2
D,PA,9.777094892,0.126774818,0.246042266,porcupine,2,2
F,PA,10.05942896,0.107599278,0.972536047,porcupine,2,0
F1,USF,0.816444856,0.538385757,0.209151321,porcupine,2,1
G,PA,10.16510243,0.25943872,-0.316138922,porcupine,2,0
GR,USF,5.328472962,0.088412097,-0.215428496,porcupine,2,0
H,PA,8.860242465,0.08772047,-0.442316075,porcupine,2,3
J1,PA,10.83369439,0.078785066,-0.367301372,porcupine,2,0
L,USF,2.984312498,0.136523091,-0.363900909,porcupine,2,0
LM,USF,3.606562176,0.178956193,-0.323625723,porcupine,2,1
P,PA,7.600889675,0.204993689,-0.254461328,porcupine,2,0
R,USF,2.571010138,0.834516335,0.03161602,porcupine,2,0
RM,USF,0.834972953,0.503048408,0.127090213,porcupine,2,3
S,USF,4.637241438,1.759121463,-0.21130855,porcupine,2,NA
S1,PA,7.007108727,0.127424159,-0.274563314,porcupine,2,3
T,USF,4.238910111,0.550633764,-0.338521342,porcupine,2,1
TN,USF,4.43759831,1.403762978,0.113642826,porcupine,2,0
